NOME;UNID;CODBARRA;NCM;FATOR;MARCA;DEPTO;DESCRICAO;FOTO_SMALL;FOTO_BIG
MORTADELA DE FRANGO AURORA 500G;UN;7891164016111;16010000;1;MORTADELA;MORTADELA DIVERSA;;;
PAIO AURORA 400G;UN;7891164005825;16010000;1;CARNE SUINA COD BARRA;LINGUIÇA DIVERSA - FRIOS;;;
GELATINA ROYAL LIMAO 45G;UN;7893333354307;21069029;1;GELATINA;GELATINA;;;
JARRA TERMICA PS DECORRADA REF 9768 INVICTA 1;UN;7891691097683;96170010;1;GARRAFA;GARRAFA TERMICA DIVERSAS;;;
GARRAFA TERMICA DE MESA AIR POT REF 9718 INVI;UN;7891691097188;96170010;1;GARRAFA TERMICA;GARRAFA TERMICA DIVERSAS;;;
PRESERVATIVO BLOWTEX AROMATIZADO TUTTI FRUTTI;UN;7896007200368;40141000;1;PRESERVATIVO;PRESERVATIVO;;;
LUSTRA MOVEIS POL C.ABELHA RECKITT 200ML;UN;7891035502699;34052000;1;LUSTRA MOVEIS;MATERIAIS LIMPEZA;;;
RACAO FARO ADULTO MIX 1KG;UN;7896048953513;23099010;1;GUABI - FARO;RACAO CAO ATE 5 KG;;;
RACAO FARO FILHOTES MACIO 900G;UN;7896048953346;23099010;1;GUABI - FARO;RACAO CAO ATE 5 KG;;;
RACAO FARO CREK 500G;UN;7896048953407;23099010;1;RACAO P/CAES 1KG;MATERIAS CONST/FE;;;
RACAO SABOR E VIDA ADULTO FRANGO 1KG;UN;7896048929068;23099010;1;GUABI - SABOR & VIDA CAES;MERCEARIA;;;
RACAO SABOR E VIDA AD CARNE/FIGADO 1KG;UN;7896048929020;23099010;1;GUABI - SABOR & VIDA CAES;MERCEARIA;;;
PAMELOR 75MG COMPRIMIDO PSCO;;7896261002661;30049039;;;;;;
PARLODEL COMPR;UN;7896261002678;30049039;1;MEDICAMENTOS SIMILAR;FARMACIA;;;
PARLODEL COMPR;;7896261002685;30044090;;;;;;
PARLODEL SRO. 2.5MG;UN;7896261002692;30044090;1;MEDICAMENTOS SIMILAR;FARMACIA;;;
PARLODEL SRO. 2.5MG;UN;7896261002708;30044090;1;MEDICAMENTOS SIMILAR;FARMACIA;;;
PARLODEL 5MG SRO;;7896261002715;30044090;;;;;;
QUAKER + SABOR COCO/BAUNILHA 200 G;UN;7894321615363;11041200;1;AVEIAS;MERCEARIA;;;
LOCAO SOLAR PROT NIVEA SUN FPS 15 125ML;UN;7891177804293;33049990;1;BRONZEADOR;HIGIENE E BELEZA;;;
PRODUTO INATIVO;UN;7896011420028;20058000;1;MILHO VERDE;MERCEARIA;;;
PUDIM DUCOCO EM PO MORANGO 85G;UN;7896016601194;21069029;1;PUDINS;MERCEARIA;;;
LENTILHA YOKI 500G;CX;17891095100559;07134090;12;;;;;
MASSA PARA LASANHA ROMANHA 500G;UN;7896020900207;19021900;1;;MASSA PIZZA/PASTEL;;;
NUTRIX ROYAL BODY 200ML;;3605530314053;33041000;;;;;;
MOLHO YAKISSOBA SAKURA 500ML;UN;7896007800896;21031010;1;MOLHO INGLES;TEMPERO DIVERSOS;;;
GELATINA DIET MORANGO OETKER 12G;UN;7891048046654;21069029;1;GELATINA;GELATINA;;;
LENTILHA ZAELI 500G;UN;7896183900847;07134090;1;LENTILHA;PIPOCA/AMENDOIM/CANJICA/FUBA;;;
GELATINA DIET MORANGO OETKER 12G;UN;7891048046548;21069029;1;GELATINA DIET/LIGHT;GELATINA;;;
GELATINA DIET ABACAXI OETKER 12G;UN;7891048046616;21069029;1;GELATINA;GELATINA;;;
NOZES COM CASCA LA VIOLETERA 200G;UN;7891089063429;20081900;1;FRUTAS SECAS;HORTIFRUTI-23;;;
GELATINA ROYAL ABACAXI 35G;UN;7622300242572;21069029;1;GELATINA;GELATINA;;;
GELATINA ROYAL ZERO MORANGO 12G;UN;7893333321613;21069029;1;GELATINA;MERCEARIA;;;
GELATINA DIET ABACAXI OETKER 12G;UN;7891048046555;21069029;1;GELATINA DIET/LIGHT;GELATINA;;;
GELATINA ROYAL LIMAO 35G;UN;7622300243449;21069029;1;GELATINA;GELATINA;;;
METILDOPA (kindomet) 250MG C/500CP KINDER;;7892885002179;30043993;;;;;;
